artists,name,ranking,year
Bryson Tiller,EXCHANGE,53,2016
Fetty Wap Featuring Remy Boyz,679,54,2016
Jeremih,OUI,55,2016
Selena Gomez,HANDS TO MYSELF,56,2016
Kevin Gates,2 PHONES,57,2016
The Weeknd Featuring Daft Punk,STARBOY,58,2016
DJ Khaled Featuring Drake,FOR FREE,59,2016
Flume Featuring Kai,NEVER BE LIKE YOU,60,2016
The Weeknd,IN THE NIGHT,61,2016
Meghan Trainor,ME TOO,62,2016
Elle King,EX'S & OH'S,63,2016
Thomas Rhett,DIE A HAPPY MAN,64,2016
Post Malone,WHITE IVERSON,65,2016
Nick Jonas Featuring Tove Lo,CLOSE,66,2016
X Ambassadors,UNSTEADY,67,2016
"Lil Wayne, Wi",SUCKER FOR PAIN,68,2016
Yo Gotti Featuring Nicki Minaj,DOWN IN THE DM,69,2016
Tory Lanez,LUV,70,2016
Beyonce,SORRY,71,2016
The Weeknd,CAN'T FEEL MY FACE,72,2016
Coldplay,HYMN FOR THE WEEKEND,73,2016
Tory Lanez,SAY IT,74,2016
Travis Scott,ANTIDOTE,75,2016
Ruth B,LOST BOY,76,2016
Ariana Grande Featuring Nicki Minaj,SIDE TO SIDE,77,2016
Daya,"SIT STILL, LOOK PRETTY",78,2016
Taylor Swift,WILDEST DREAMS,79,2016
DJ Snake Featuring Bipolar Sunshine,MIDDLE,80,2016
Ellie Goulding,ON MY MIND,81,2016
Drake Featuring The Throne,POP STYLE,82,2016
Adele,WHEN WE WERE YOUNG,83,2016
Daya,HIDE AWAY,84,2016
Major Lazer & DJ Snake Featuring MO,LEAN ON,85,2016
Shawn Mendes & Camila Cabello,I KNOW WHAT YOU DID LAST SUMMER,86,2016
"Fat Joe, Rem",ALL THE WAY UP,87,2016
Silento,WATCH ME,88,2016
Chris Brown,BACK TO SLEEP,89,2016
Usher Featuring Young Thug,NO LIMIT,90,2016
O.T. Genasis Featuring Young Dolph,CUT IT,91,2016
Kevin Gates,REALLY REALLY,92,2016
Fifth Harmony Featuring Fetty Wap,ALL IN MY HEAD (FLEX),93,2016
Hailee Steinfeld & Grey Featuring Zedd,STARVING,94,2016
Coldplay,ADVENTURE OF A LIFETIME,95,2016
Tim McGraw,HUMBLE AND KIND,96,2016
Future,WICKED,97,2016
Desiigner,TIIMMY TURNER,98,2016
Wiz Khalifa Featuring Charlie Puth,SEE YOU AGAIN,99,2016
One Direction,PERFECT,100,2016
Calvin Harris & Disciples,HOW DEEP IS YOUR LOVE,100,2015
Miley Cyrus,ADORE YOU,100,2014
Paramore,STILL INTO YOU,100,2013
Linkin Park,BURN IT DOWN,100,2012
Big Sean Featuring Chris Brown,MY LAST,100,2011
Jerrod Niemann,"LOVER, LOVER",100,2010
The Fray,NEVER SAY NEVER,100,2009
2 Pistols Featuring T-Pain & Tay Dizm,SHE GOT IT,100,2008
R. Kelly Duet With Usher,SAME GIRL,100,2007
Teddy Geiger,FOR YOU I WILL (CONFIDENCE),100,2006
